country,unit,measure,source,year,value
Iceland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,16.8
Ireland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,17.8
Italy,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,17.5
Latvia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,11.6
Lithuania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,14.1
Luxembourg,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,15.9
Malta,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,15.8
Netherlands,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,8.3
Norway,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,14.0
Poland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,20.2
Portugal,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,15.3
Romania,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,25.7
Slovakia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,16.0
Slovenia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,10.2
Spain,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,20.0
Sweden,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,10.1
EU/EEA,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,16.4
EU,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2021,16.4
Austria,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,10.5
Belgium,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,20.5
Bulgaria,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,25.7
Croatia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,20.2
Cyprus,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,33.5
Czechia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,17.1
Denmark,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,15.2
Estonia,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,12.4
Finland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,12.5
France,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,24.3
Germany,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,
Greece,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,32.9
Hungary,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,14.4
Iceland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,18.6
Ireland,"DDD per 1,000 inhabitants per day","Total antibacterial consumption (community + hospital), ATC group J01","ECDC ESAC-Net annual epidemiological report 2023, Table 2",2022,23.1
